name,pop_gdp,country
3140,135242.71465711726,MD
3139,214228.90482065853,MD
3142,386803.3600182992,MD
3152,158045.1153910471,MD
3246,161451.3253628593,MD
7049,265548.0689598653,MD
2974,387792.5029834563,UA
2977,315384.32165071653,UA
2979,211284.33626074647,UA
2980,321293.4556565791,UA
3031,61184.78927555615,UA
3032,146037.22505674922,UA
3033,154048.29851562047,UA
3035,58478.863111214654,UA
3036,509280.431968439,UA
3037,1235438.5872832027,UA
3038,272037.0442230841,UA
3039,231147.8870884027,UA
3040,350413.29405063356,UA
3044,70205.32055205145,UA
3045,257571.9206598943,UA
3047,152509.38356511606,UA
3049,114084.98923058576,UA
3050,1173725.0162773768,UA
3051,75426.24470641499,UA
3052,71986.84210657932,UA
3065,163930.48880643197,UA
3073,67557.08042445945,UA
3074,268293.50850797276,UA
3077,822539.78542373,UA
3078,142321.88875539388,UA
3079,1543996.4229846732,UA
3080,1972069.7068842705,UA
3082,144330.32314406155,UA
3083,872904.4818831843,UA
3084,1955046.6329852678,UA
3086,100861.59212590422,UA
3088,360977.1833775961,UA
3089,3916666.0926240045,UA
3090,570926.5059206383,UA
3093,248243.00039117518,UA
3095,488976.23428927833,UA
3099,365452.12179512484,UA
3100,194995.41677154304,UA
3105,580618.8524010993,UA
3107,94055.06333295986,UA
3108,84664.11428569665,UA
3109,379674.978670021,UA
3144,77090.24305477389,UA
3146,84163.04758265638,UA
3158,78387.41304483695,UA
3164,3183823.2020556857,UA
3165,66645.78675820891,UA
3166,404739.92763416615,UA
3167,143422.76736795227,UA
3168,59218.16598198585,UA
3170,32472.60248041907,UA
3171,149439.1227288638,UA
3172,44248.745478148485,UA
3173,1319603.607739528,UA
3174,179452.61020291105,UA
3176,63793.95019585436,UA
3177,138340.670774785,UA
3178,59273.18808290929,UA
3179,400797.8924437703,UA
3180,144460.38161434612,UA
3181,65308.8055101751,UA
3187,195368.63363042742,UA
3189,56286.974438431,UA
3190,218815.9841257204,UA
3197,89683.72280858981,UA
3198,296441.8929919087,UA
3199,61175.55247560513,UA
3229,177316.28523280367,UA
3230,111613.91698368295,UA
3236,66449.34312616462,UA
3241,90251.1846860683,UA
4301,54688.68905543491,UA
4305,155999.9067045469,UA
4306,55451.893192843985,UA
4315,229345.3187400136,UA
4317,168168.4233330464,UA
4318,1366233.7615774698,UA
4319,97815.88781087862,UA
4321,91794.74609186553,UA
4347,73084.62193750113,UA
4357,21774.912766760357,UA
4360,49927.22052649334,UA
4361,58281.71852640795,UA
4362,171416.66213849274,UA
4363,49058.58188240127,UA
4365,103162.45206466469,UA
4366,272626.90498184745,UA
4367,84128.29909297687,UA
4370,329272.7108498006,UA
4371,7350487.31589197,UA
4373,1973781.2856017186,UA
4374,947336.5621773624,UA
4377,238757.32734353663,UA
4382,131752.0969054762,UA
4383,51223.129288592885,UA
4384,52353.8709486054,UA
4385,60440.74674902417,UA
4387,79155.34274410582,UA
4388,255587.6815851355,UA
4389,104073.00614552492,UA
4391,261470.02344393675,UA
4401,67101.87341669423,UA
4403,114506.36504698795,UA
4405,48448.923816567134,UA
4408,153261.50541381995,UA
4409,115436.93494497957,UA
4410,156127.66330305277,UA
4412,199619.24323687988,UA
4413,185112.44490384962,UA
4414,997015.2124200299,UA
4416,158195.9149265086,UA
4418,81154.03138592013,UA
4420,129196.59432706889,UA
4424,188440.88883060127,UA
4425,89089.2700269543,UA
4431,50863.82269503332,UA
4435,234030.09040193562,UA
4436,83910.5181140058,UA
4438,117587.17590923839,UA
4439,81559.16606922972,UA
4440,138274.01478685418,UA
4441,54150.03337576578,UA
7031,46220.61847107817,UA
7059,163842.14782936612,UA
7063,43225.31494993039,UA
